咬,Bite
守衛,Guard
徽章,Badge
石塊,Rock
庇護,Aegis
保護,Ward
塔,Tower
盾護,Shield
翼,Wing
標記,Mark
象徵,Emblem
手,Hand
拳,Fist
爪,Claw
手爪,Clutches
緊握,Grip
抓取,Grasp
握,Hold
觸碰,Touch
手指,Finger
指節,Knuckle
小腿,Shank
踢馬刺,Spur
踏步,Tread
潛行者,Stalker
油渣,Greaves
發光體,Blazer
釘,Nails
蹂躪,Trample
粗皮鞋,Brogues
追蹤,Track
便鞋,Slippers
扣鉤,Clasp
釦帶,Buckle
挽具,Harness
鎖,Lock
邊飾,Fringe
捲燒,Winding
鏈條,Chain
2442,Strap
抽打,Lash
捆綁,Cord
結,Knot
環,Circle
圈,Loop
眼,Eye
轉,Turn
螺旋,Spiral
盤繞,Coil
旋迴,Gyre
箍,Band
螺層,Whorl
護符,Talisman
心,Heart
套索,Noose
項鍊,Necklace
項圈,Collar
串珠,Beads
金絲項圈,Torc
頸甲,Gorget
聖甲蟲,Scarab
木,Wood
品牌,Brand
棍棒,Bludgeon
木棒,Cudgel
織布機,Loom
豎琴,Harp
專家,Master
酒吧,Bar
砍,Hew
鉤,Crook
毀損,Mar
殼,Shell
棍子,Stake
尖木,Picket
蒼白,Pale
凸緣,Flange
抓,Scratch
小刀,Scalpel
尖牙,Fang
槽,Gutter
渴望,Thirst
剃刀,Razor
鐮刀,Scythe
刃,Edge
鋸,Saw
劈裂,Splitter
切肉刀,Cleaver
斷裂者,Sever
撕碎者,Sunder
分裂,Rend
亂砍者,Mangler
屠殺者,Slayer
強奪者,Reaver
復生,Spawn
咬牙,Gnash
星,Star
吹,Blow
擊碎者,Smasher
剋星,Bane
壓碎者,Crusher
破壞者,Breaker
研磨者,Grinder
破裂,Crack
大頭錘,Mallet
喪鐘,Knell
長槍,Lance
釘,Spike
刺穿者,Impaler
串列者,Skewer
刺,Prod
鞭,Scourge
杖,Wand
破滅,Wrack
倒鉤,Barb
針,Needle
鏢,Dart
彈,Bolt
爭吵,Quarrel
箭羽,Fletch
翔,Flight
搭弦,Nock
角,Horn
有刺者,Stinger
羽,Quill
刺棒,Goad
枝,Branch
螺旋,Spire
歌,Song
呼減,Call
哭喊,Cry
法術,Spell
曲,Chant
編織者,Weaver
節,Gnarl
臉,Visage
頂飾,Crest
飾環,Circlet
面紗,Veil
兜帽,Hood
面具,Mask
額頭,Brow
盔,Casque
面甲,Visor
蒙頭斗蓬,Cowl
隱藏,Hide
投擲,Pelt
甲殼,Carapace
外袍,Coat
包裹,Wrap
衣,Suit
斗蓬,Cloak
罩衣,Shroud
水兵,Jack
披風,Mantle
